name,symbol,Price_usd,volume24h,volume30d,marketCap,dominance,ytdPriceChangePercentage,cmcRank,marketPairCount,circulatingSupply,totalSupply
Uniswap,UNI,6.843141368808081,136391942.6825378,1536598922.373049,5215906174.106411,0.4682,30.4412,17,613,762209326.5354977,1000000000.0
Dai,DAI,0.9994493931441856,248750796.98375553,3287114006.0996394,5198710083.387367,0.4665,-0.034,18,1874,5201574105.75102,5201574105.75102
Wrapped Bitcoin,WBTC,24614.78925705598,279864221.2750113,3466654901.45284,4337051071.534715,0.3892,48.63,19,883,176196.96135694,176196.96135694
Cosmos,ATOM,14.131357259795159,218904695.44458008,3324178545.046314,4046800975.5006456,0.3632,49.3096,20,397,286370297.0,0.0
Chainlink,LINK,7.3074868930909265,480309861.627823,10168031061.663046,3712203125.774317,0.3332,29.97,21,970,507999970.4527867,1000000000.0
UNUS SED LEO,LEO,3.337340077643684,2032879.05435403,48721492.29308846,3183669350.282713,0.2857,-5.2942,22,23,953954130.0,985239504.0
Ethereum Classic,ETC,22.48256543853536,250937821.13074487,3791650991.9960403,3131401720.0894413,0.2811,42.5471,23,371,139281334.6257267,210700000.0
Monero,XMR,165.90046770935746,92730059.0976877,3007617338.9723334,3026194697.06547,0.2717,11.6596,24,205,18241025.71167604,18241025.71167604
OKB,OKB,48.6617154159253,113680456.9541069,1424543231.72122,2919702924.955518,0.262,77.249,25,88,60000000.0,300000000.0
Toncoin,TON,2.365165146795676,28607362.028584,814458468.5746236,2888815503.556277,0.2592,2.5305,26,85,1221401181.0,5047558528.0
Aptos,APT,16.316700416845467,1008355876.1737667,23104234196.572628,2653496160.674509,0.2382,362.6673,27,154,162624556.0,1015668377.0
Bitcoin Cash,BCH,134.61159478706378,230836022.88934234,5253761891.058171,2599778128.4741178,0.2333,38.8391,28,671,19313181.25,19313181.25
Hedera,HBAR,0.09176538481374909,99297082.76324794,6879802130.028205,2390623184.096488,0.2145,140.9557,29,125,26051470158.912296,50000000000.0
Stellar,XLM,0.09040296375271159,87397512.70776276,1005203750.5807232,2381584149.0432925,0.2138,24.6519,30,478,26344093713.09863,50001787454.757675
Lido DAO,LDO,2.7839033747949764,380896192.20884764,5651087961.623339,2349040384.5259094,0.2108,157.731,31,154,843793791.7650992,1000000000.0
NEAR Protocol,NEAR,2.5177176598062965,213923996.802732,2391069604.7184896,2162038671.365244,0.194,97.3413,32,219,858729597.0,1000000000.0
Filecoin,FIL,5.480600150518812,243589099.18219584,4536796775.512982,2134768985.3447433,0.1916,76.1448,33,275,389513726.0,389513726.0
ApeCoin,APE,5.715417777407596,168700864.94423786,3518876720.840503,2106667271.3913312,0.1891,47.9106,34,243,368593750.0,1000000000.0
Cronos,CRO,0.08101244985930109,28469911.38741241,339252200.0305867,2046618630.017987,0.1837,42.5509,35,179,25263013692.0,30263013692.0
Algorand,ALGO,0.2740621945141633,136433851.5959951,1657364572.5938888,1966792909.180849,0.1765,54.4308,36,281,7176447348.629863,7398645506.703686
VeChain,VET,0.025588063872627784,73864110.13946058,1052170771.7943255,1855419846.0212493,0.1665,59.5503,37,212,72511146418.0,85985041177.0
Quant,QNT,144.77577969339762,45015176.87732702,541035391.5708237,1747840056.9841099,0.1569,36.8546,38,137,12072738.0,14612493.080826
Internet Computer,ICP,6.018388860581271,54470302.30167513,763766517.1859123,1744449810.3758655,0.1566,49.8017,39,140,289853289.77353287,495789296.3094496
Fantom,FTM,0.5766766463533515,659745606.893251,19357323368.15191,1601579204.2937465,0.1437,187.0262,40,419,2777256915.8495083,3175000000.0
The Graph,GRT,0.1790919484696109,252478502.25177366,4782999573.602264,1574105915.4503279,0.1413,216.8989,41,268,8789372883.044092,10586216001.237217
Decentraland,MANA,0.7431554892352726,240024687.76826417,5409425954.524582,1378616000.1152406,0.1237,146.5528,42,340,1855084191.7804768,2193539027.320146
Aave,AAVE,88.98860797503573,132855153.59976713,7156601816.933689,1254133589.6685445,0.1126,70.9812,43,501,14093192.58056459,16000000.0
BitDAO,BIT,0.5942832994038298,16280151.60113749,453022811.29649615,1242614388.1064525,0.1115,78.5038,44,54,2090946168.860899,10000000000.0
Axie Infinity,AXS,10.995739597926832,148387449.5112768,10218049756.7158,1228801389.7036326,0.1103,74.151,45,292,111752500.02603866,270000000.0
